Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,49
Base Time Seconds,1636659160
Base Time Fractional,.079703200
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.323750529991e-05,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,30.0021381378174,Volt DC,100,T,2W,F,F,11/11/2021,19:32:40,.079703200
2,2.052313175227e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,31.0088672637939,Volt DC,100,T,2W,F,F,11/11/2021,19:32:40,.335752000
3,4.849141623708e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,32.0893249511719,Volt DC,100,T,2W,F,F,11/11/2021,19:32:40,.428521320
4,5.679818423232e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,33.0856399536133,Volt DC,100,T,2W,F,F,11/11/2021,19:32:40,.521262740
5,6.596151069971e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,34.0793380737305,Volt DC,100,T,2W,F,F,11/11/2021,19:32:40,.614020320
6,7.615866343258e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,35.0732612609863,Volt DC,100,T,2W,F,F,11/11/2021,19:32:40,.706762520
7,8.708487439435e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,36.1311645507813,Volt DC,100,T,2W,F,F,11/11/2021,19:32:40,.799530220
8,3.779544567806e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,37.0916786193848,Volt DC,100,T,2W,F,F,11/11/2021,19:32:40,.892275180
9,3.570997068891e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,38.0822830200195,Volt DC,100,T,2W,F,F,11/11/2021,19:32:40,.985012860
10,3.513045157888e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,39.0807228088379,Volt DC,100,T,2W,F,F,11/11/2021,19:32:41,.077753920
11,3.493281110423e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,40.0798072814941,Volt DC,100,T,2W,F,F,11/11/2021,19:32:41,.170484100
12,3.492421092233e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,41.0826759338379,Volt DC,100,T,2W,F,F,11/11/2021,19:32:41,.263209520
13,3.472634125501e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,42.0812988281250,Volt DC,100,T,2W,F,F,11/11/2021,19:32:41,.355944660
14,3.46962842741e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,43.0811119079590,Volt DC,100,T,2W,F,F,11/11/2021,19:32:41,.448686780
15,3.474238110357e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,44.0838775634766,Volt DC,100,T,2W,F,F,11/11/2021,19:32:41,.541409920
16,3.460064908722e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,45.0831756591797,Volt DC,100,T,2W,F,F,11/11/2021,19:32:41,.634156800
17,3.456985359662e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,46.0825653076172,Volt DC,100,T,2W,F,F,11/11/2021,19:32:41,.726897680
18,3.464581095614e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,47.0852050781250,Volt DC,100,T,2W,F,F,11/11/2021,19:32:41,.819607660
19,3.453360477579e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,48.0844764709473,Volt DC,100,T,2W,F,F,11/11/2021,19:32:41,.912360040
20,3.451111115282e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,49.0837745666504,Volt DC,100,T,2W,F,F,11/11/2021,19:32:42,.005110720
21,3.46169435943e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,50.0870933532715,Volt DC,100,T,2W,F,F,11/11/2021,19:32:42,.097856760
22,3.449935320532e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,51.0863418579102,Volt DC,100,T,2W,F,F,11/11/2021,19:32:42,.190596960
23,3.458430364844e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,52.0888442993164,Volt DC,100,T,2W,F,F,11/11/2021,19:32:42,.283347200
24,3.446853588684e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,53.0868301391602,Volt DC,100,T,2W,F,F,11/11/2021,19:32:42,.376095760
25,3.449641008046e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,54.0860404968262,Volt DC,100,T,2W,F,F,11/11/2021,19:32:42,.468842320
26,3.461489177425e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,55.0890083312988,Volt DC,100,T,2W,F,F,11/11/2021,19:32:42,.561560900
27,3.452818782534e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,56.0884132385254,Volt DC,100,T,2W,F,F,11/11/2021,19:32:42,.654297740
28,3.452581222518e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,57.0872268676758,Volt DC,100,T,2W,F,F,11/11/2021,19:32:42,.747019980
29,3.465313420747e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,58.0902824401855,Volt DC,100,T,2W,F,F,11/11/2021,19:32:42,.839748860
